regulation of muscle cell apoptotic process	PROCESS
blepharydatis	0
snidest	0
teaselers	0
halva	0
NAD(P)+ transhydrogenase complex (AB-specific)	GENE
mature T-cell neoplasm	DISEASE
maG1	CHEM
misunderstanders	0
yentas	0
bare-toed	0
rambles	0
weirdies	0
ammonium transmembrane transporter activity	PROCESS
aorta	DISEASE
Albuginaceae	0
Lasala	0
anaesthetizer	0
Lys48-specific deubiquitinase activity	PROCESS
cowcatchers	0
sphingomyelin catabolic process	PROCESS
negative regulation of cytokine production	PROCESS
acylglycerol biosynthetic process	PROCESS
uncommercial	0
acetyl-coenzyme A:acetyl alcohol acetyltransferase activity	PROCESS
Bartow	0
ammonization	0
anal fin lepidotrichium 4	CHEM
calling-over	0
trashman	0
galactarate transmembrane transporter activity	PROCESS
Neopieris	0
abscondedly	0
salicylic acid metabolic process	PROCESS
granular vesicle	GENE
unilaminar epithelium	DISEASE
oocyte differentiation	PROCESS
stupefier	0
histidine catabolic process to 2-oxoglutarate	PROCESS
unforgettably	0
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	PROCESS
noncircuitousness	0
anterior basicapsular commissure	CHEM
loose-moraled	0
dividedness	0
intramembrane_polypeptide_region	DISEASE
nucleotide-excision repair complex	GENE
myotome somite 1	CHEM
tourist	0
epitympa	0
motor nucleus of vagal nerve	CHEM
tyrannicly	0
gramy	0
Myoclonus	DISEASE
cranial nerve VIII	CHEM
sarcolemma	GENE
saltgrass	0
skin papilloma	DISEASE
coarb	0
organic phosphonate catabolic process	PROCESS
serine-type exopeptidase activity	PROCESS
obsolete neprilysin activity	PROCESS
subshrubby	0
Iceland	0
monocyte	CHEM
sucrose transport	PROCESS
supervitality	0
ambach	0
Tom	0
convexed	0
ghillie	0
neurotrophin receptor activity	PROCESS
obsolete Pro-X metallocarboxypeptidase activity	PROCESS
carboxylic acid binding	PROCESS
traditionalize	0
catecholamine	0
pericardial muscle	CHEM
catalytic complex	GENE
regulation of blood vessel endothelial cell differentiation	PROCESS
competent	0
Winnipegger	0
gyre	0
capelocracy	0
response to fatty acid	PROCESS
anythingarian	0
fleeten	0
Boethusian	0
Palamedes	0
muggered	0
allantoin metabolic process	PROCESS
ZFA_0009192	CHEM
typecasting	0
organochordium	0
ER retention sequence binding	PROCESS
pelvic fin skeleton	CHEM
delta24(24-1) sterol reductase activity	PROCESS
asarite	0
single-strand break repair via homologous recombination	PROCESS
netrin receptor activity	PROCESS
nephrotic syndrome with lesion of membranoproliferative glomerulonephritis	DISEASE
yearling	0
Trujillo	0
mid-position	0
neurotic disorder	DISEASE
tres-tine	0
metabits	0
well-systematised	0
UDP-glucose:sinapaldehyde 4-beta-D-glucosyltransferase activity	PROCESS
photosystem II antenna complex	GENE
Holliday junction resolvase complex	GENE
reintercession	0
fazenda	0
galactophlebitis	0
cytoplasmic microtubule bundle	GENE
Bangiales	0
post_translationally_modified_region	DISEASE
Meckel syndrome 1	DISEASE
aggresome	GENE
histone H4-K20 methylation	PROCESS
Niagara	0
DnaA-DnaB-DnaC complex	GENE
phenylacetyl-CoA 1,2-epoxidase activity	PROCESS
untap	0
Montgolfier	0
fishability	0
liver and biliary system	CHEM
invincibility	0
dense core granule lumen	GENE
ectocondyle	0
iron-sulfur cluster binding	PROCESS
presurmising	0
sidebones	0
bone regeneration	PROCESS
obsolete pyroglutamyl-peptidase I activity	PROCESS
reendorsing	0
fibronectin-tissue transglutaminase complex	GENE
outfabled	0
intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator	PROCESS
middlebrows	0
shepherdling	0
minification	0
infinitudes	0
repressive	0
emeer	0
bone marrow disease	DISEASE
Schulz	0
protest	0
spermatogenic failure 11	DISEASE
flashlight's	0
dichloromuconate cycloisomerase activity	PROCESS
multiple epiphyseal dysplasia 1	DISEASE
DNA topoisomerase type II (ATP-hydrolyzing) activity	PROCESS
hydroxy-nicotine oxidase activity	PROCESS
MAML2-RBP-Jkappa-ICN4 complex	GENE
RNA processing	PROCESS
crescentoid	0
histone acetyltransferase activity (H2A-K5 specific)	PROCESS
Lebesgue	0
N-acylmannosamine kinase activity	PROCESS
syndromic X-linked intellectual disability 12	DISEASE
citifies	0
glial limiting end-foot	GENE
Macrocentrus	0
lung carcinoma metastatic to the brain	DISEASE
Clupea	0
UDP-D-glucose:pelargonidin-3-O-beta-D-glucoside 5-O-glucosyltransferase activity	PROCESS
photoreceptor activity	PROCESS
syndromic X-linked intellectual disability Snyder type	DISEASE
smallmouth	0
gamma-tubulin ring complex, centrosomal	GENE
lung adenocarcinoma	DISEASE
corticosteroid side-chain-isomerase activity	PROCESS
tempest-loving	0
fiendishness	0
obsolete NAD phosphorylation and dephosphorylation	PROCESS
YOB	0
cut-finger	0
middle lateral line nerve	CHEM
fgrid	0
outboundaries	0
anal carcinoma	DISEASE
commissure of the tract of the commissure of the caudal tuberculum	CHEM
countersignatures	0
you'd	0
Cholestasis	DISEASE
affectless	0
ductules	0
vagal ganglion 4	CHEM
dihydrosphingosine-1-phosphate phosphatase activity	PROCESS
Hydrophilidae	0
myosin XI tail binding	PROCESS
nephrosis	DISEASE
impleader	0
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity	PROCESS
laemodipodiform	0
heart disease	DISEASE
tingly	0
protein membrane anchor	PROCESS
alkyl sulfatase activity	PROCESS
5,10-methylenetetrahydrofolate-dependent methyltransferase activity	PROCESS
excessive crying of infant	DISEASE
electrocontractility	0
Gruithuisen	0
pyrrolidines	DISEASE
two-pointic	0
superdiscount	0
fever	DISEASE
anterior lateral plate mesoderm	CHEM
Cherryville	0
L-methionine salvage	PROCESS
optimes	0
integumentary system layer	DISEASE
positive regulation of heparan sulfate proteoglycan biosynthetic process	PROCESS
diprismatic	0
uncouched	0
cloned	0
supersensitized	0
microphthalmia	DISEASE
gynophoric	0
inhibin-betaglycan-ActRII complex	GENE
subcrenated	0
interferon-gamma binding	PROCESS
envenomation resulting in positive regulation of complement activation, alternative pathway in other organism	PROCESS
camphorone	0
N-acetyl-anhydromuramoyl-L-alanine amidase activity	PROCESS
hastened	0
Gnesdilov	0
swedge	0
masquers	0
RPI	0
rabulous	0
rugosity	0
sporoplasm	GENE
7SK snRNA binding	PROCESS
apico-dental	0
cholecystogastrostomy	0
well-printed	0
vulvar acquired melanocytic nevus	DISEASE
betanidin 5-O-glucosyltransferase activity	PROCESS
regulation of primary metabolic process	PROCESS
gibberellin A17,oxoglutarate:oxygen oxidoreductase activity	PROCESS
Loring	0
shide	0
terpene synthase activity	PROCESS
right lower quadrant abdominal pain	DISEASE
reindoctrination	0
translocation of molecules into other organism involved in symbiotic interaction	PROCESS
palatocerebral artery	CHEM
polyradiculoneuropathy	DISEASE
caudal fin principal ray 5	CHEM
Rasure	0
coendure	0
cuddly	0
RecFOR complex	GENE
anxiety disorder	DISEASE
alkalified	0
obsolete positive regulation of N-methyl-D-aspartate receptor clustering	PROCESS
papyrian	0
microsporidian-type endospore	GENE
THO complex part of transcription export complex	GENE
prospore membrane	GENE
U1 snRNA 3'-end processing	PROCESS
chloride channel regulator activity	PROCESS
clumper	0
overriot	0
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	PROCESS
non-neoplastic non-molar trophoblastic disorder	DISEASE
disspreading	0
obsolete axonemal dynein intermediate chain	GENE
cytosolic proteasome regulatory particle, base subcomplex	GENE
ivorybill	0
dentary	CHEM
hyaluranon cable	GENE
broad-tailed	0
preemployment	0
capsulotomy	0
Entamoebidae	DISEASE
protein import into nucleus	PROCESS
sissies	0
MELAS syndrome	DISEASE
cunjah	0
CTG_start_codon	DISEASE
scorny	0
cowlstaff	0
(+)-delta-cadinene-8-hydroxylase activity	PROCESS
passeriform	0
positive regulation of transcription involved in meiotic cell cycle	PROCESS
organizer inducing center	CHEM
Neupest	0
tripeshop	0
crankless	0
overpass	0
trophobiotic	0
ossicle	DISEASE
jejunal cancer	DISEASE
chromatin binding	PROCESS
regulation of alcohol biosynthetic process	PROCESS
GDP-D-glucose phosphorylase activity	PROCESS
wafflike	0
Atg8 ligase activity	PROCESS
nicotine catabolic process	PROCESS
Indianian	0
Guggenheim	0
pilus	GENE
radiophony	0
start stage	CHEM
congenital myasthenic syndrome	DISEASE
superspecification	0
biacuru	0
pericardial cavity	CHEM
unterrifying	0
alignment	0
negative regulation of induction of conjugation with cellular fusion	PROCESS
lazulites	0
sheltered	0
sensory neuron	CHEM
quinoidin	0
emulsic	0
sociolatry	0
nuclear nucleosome	GENE
positive regulation of vacuole organization	PROCESS
caveola bulb	GENE
seditiousness	0
obsolete MAP kinase activity involved in conjugation with cellular fusion	PROCESS
Schaeffer	0
3-oxo-palmitate decarboxylase activity	PROCESS
UDP-N-acetylgalactosamine catabolic process	PROCESS
bacalaos	0
epaxial region somite 3	CHEM
1-18:1-2-18:2-phosphatidylcholine synthase activity	PROCESS
autosomal recessive congenital ichthyosis 3	DISEASE
camletine	0
hydraucone	0
cacanthrax	0
humorific	0
herried	0
primary coenzyme Q10 deficiency 7	DISEASE
methanol-specific methylcobalamin:coenzyme M methyltransferase activity	PROCESS
autosomal dominant Robinow syndrome 2	DISEASE
extrinsic component of organelle membrane	GENE
motile cilium assembly	PROCESS
central chamber of the maxillary blood sinus	CHEM
antisalooner	0
hypomyelinating leukodystrophy 6	DISEASE
external pharyngoclavicularis	CHEM
wame	0
perilymphatic space	CHEM
whirlmagee	0
lysosomal multienzyme complex	GENE
ambiance	0
integral component of Golgi trans cisterna membrane	GENE
unheeled	0
fantaisie	0
vernalizing	0
a-strain	0
harborer	0
debuts	0
cuminal	0
obsolete inhibitory SMAD protein	PROCESS
mancipate	0
punnier	0
Roxobel	0
obsolete response to stimulus by single organism	PROCESS
annualist	0
redisciplining	0
MiD2cm	CHEM
hypoalkalinity	0
Colette	0
intermat	0
unleal	0
isopentenyladenine UDP glycosyltransferase activity	PROCESS
inner dense plaque of desmosome	GENE
primary autosomal recessive microcephaly 19	DISEASE
R-linalool synthase activity	PROCESS
distort	0
guiler	0
nonproductively	0
nitric oxide binding	PROCESS
wellknown	0
Carpophaga	0
pyrimidine nucleobase biosynthetic process	PROCESS
sweet-seasoned	0
intramolecular oxidoreductase activity, interconverting keto- and enol-groups	PROCESS
hydroxyjasmonate sulfotransferase activity	PROCESS
thecal cell layer	CHEM
thermometer	0
2-hydroxydec-2,4-diene-1,10-dioate hydratase activity	PROCESS
mummick	0
polypeptide_variation_site	DISEASE
hydroxymethylglutaryl-CoA reductase (NADPH) activity	PROCESS
U6 snRNP	GENE
aldonic acid catabolic process	PROCESS
Propaganda	0
Orientia	DISEASE
tribrach	0
regulation of aldosterone secretion	PROCESS
divariant	0
three-handed	0
keratosis	DISEASE
severalized	0
carbon-oxygen lyase activity, acting on phosphates	PROCESS
excommunicates	0
attuning	0
alcohol O-decanoyltransferase activity	PROCESS
magma	0
metapore	0
skin appendage carcinoma	DISEASE
Tenzing	0
apneusis	0
cytochrome o ubiquinol oxidase complex	GENE
ZFA_0009008	CHEM
positive regulation of lipase activity	PROCESS
U4 snRNP	GENE
patrilocal	0
regulation of ion transmembrane transport	PROCESS
extraembryonic structure	CHEM
tournel	0
this	0
synaptobrevin 2-SNAP-25-syntaxin-3 complex	GENE
amino-acid betaine transmembrane transporter activity	PROCESS
bipolar neuron	CHEM
Alded	0
villager	0
plant-type secondary cell wall biogenesis	PROCESS
Bihari	0
uterine smooth muscle relaxation	PROCESS
digestive system	CHEM
subascending	0
poikiloblast	0
crack-loo	0
hagiographic	0
burgware	0
picrorhiza	0
backstab	0
leukemia inhibitory factor receptor binding	PROCESS
L-alanine:2-oxoglutarate aminotransferase activity	PROCESS
worker-priest	0
wickthing	0
moyen	0
Olm	0
aphasia	DISEASE
Abnormality of digestive system physiology	DISEASE
tract of diencephalon	DISEASE
nonfeeble	0
blood vessel	DISEASE
Baloch	0
septs	0
unemotive	0
Kv4.2-KChIP1 channel complex	GENE
obsolete untranslated RNA	GENE
settimo	0
other organism postsynaptic membrane	GENE
deuterogelatose	0
Peltz	0
banjo-uke	0
L-ascorbic acid metabolic process	PROCESS
bookies	0
S-adenosyl-L-methionine transmembrane transporter activity	PROCESS
alphaIIb-beta3 integrin-CIB complex	GENE
megasporocyte nucleus	GENE
bradycardia	DISEASE
subfractionary	0
albahaca	0
subpolar	0
Slit-Robo signaling complex	GENE
freighted	0
pigless	0
induced systemic resistance, ethylene mediated signaling pathway	PROCESS
consolidate	0
fascia disease	DISEASE
dolichol metabolic process	PROCESS
cytolysis by symbiont of host cells	PROCESS
harfang	0
neck-deep	0
uncrystallizable	0
viral inner capsid	GENE
neuromast support cell	CHEM
infinitized	0
positive regulation of vascular endothelial growth factor production	PROCESS
MEHMO syndrome	DISEASE
corpusculated	0
heavyheartedly	0
thromboxane-A synthase activity	PROCESS
depression	DISEASE
change in skin texture	DISEASE
skipjack	0
vestiarian	0
Boselaphus	0
obsolete protein catabolic process by pepsin	PROCESS
seminal vesicle cystadenoma	DISEASE
spinal cord neural rod	CHEM
gastric adenocarcinoma	DISEASE
maltose glucosidase activity	PROCESS
interleukin-35 receptor activity	PROCESS
sensation perception	DISEASE
preconfinement	0
amino acid import across plasma membrane	PROCESS
cryptic_prophage	DISEASE
opals	0
contrabassist	0
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	PROCESS
digestive enzyme secreting cell	CHEM
Diphyllobothrium	DISEASE
overabundantly	0
ventral hypohyal-urohyal joint	CHEM
peremptoriness	0
pullout	0
bouleversement	0
undecayed	0
myelomalacia	0
synaptic vesicle priming	PROCESS
jacketed	0
paragraphing	0
blossomry	0
deddy	0
adjournment	0
natriuresis	0
pseudodivine	0
Douala	0
circle-out	0
cressier	0
Antons	0
plastid inner membrane organization	PROCESS
septic shock	DISEASE
regulation of flower development	PROCESS
splenative	0
divagated	0
hydroxylase	0
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	PROCESS
basicapsular fenestra	CHEM
ambuscaded	0
oral leukoedema	DISEASE
obsolete centrosomal mitotic factor	GENE
cellular monovalent inorganic cation homeostasis	PROCESS
(+)-sesaminol 2-O-glucosyltransferase activity	PROCESS
antibiotic catabolic process	PROCESS
COPII-coated ER to Golgi transport vesicle	GENE
viral RNA genome packaging	PROCESS
protein guanylylation	PROCESS
myeloplast	0
PCSK9-LDLR complex	GENE
Leigh disease	DISEASE
interruptedly	0
turbidimetry	0
other organism part	GENE
poulp	0
fibrocystoma	0
positive regulation of cellular catabolic process	PROCESS
alpha1-beta1 integrin-tissue transglutaminase complex	GENE
rhombencephalic efferent neurons to the lateral line	CHEM
regulation of organelle assembly	PROCESS
t-UTP complex	GENE
enzyme activator complex	GENE
clathrin-coated endocytic vesicle membrane	GENE
three_methylpseudouridine	DISEASE
mesenchyme dorsal fin	CHEM
Ribhus	0
deliciousness	0
ribosylpyrimidine nucleosidase activity	PROCESS
predemand	0
ADP-specific glucokinase activity	PROCESS
neglectedness	0
buffoonery	0
regulation of light-activated channel activity	PROCESS
FAL1-SGD1 complex	GENE
ATPase activity, uncoupled	PROCESS
alpha-amino acid biosynthetic process	PROCESS
aspartate 1-decarboxylase activity	PROCESS
Neolithic	0
tryptophan catabolic process to kynurenine	PROCESS
disentrancement	0
overneatness	0
DPS complex	GENE
maintenance of mitotic sister chromatid cohesion, arms	PROCESS
actin filament polymerization	PROCESS
hygromatous	0
aphonia	DISEASE
slow muscle cell somite 3	CHEM
cellular lipid catabolic process	PROCESS
contractile vacuole pore	GENE
undeserver	0
joukery	0
kreitonite	0
protein transmembrane import into intracellular organelle	PROCESS
gurgly	0
dihydrouridine	DISEASE
propionate biosynthetic process	PROCESS
curite	0
cockapoos	0
Salamandridae	0
carbohydrate metabolic disorder	DISEASE
Pip2-Oaf1 complex	GENE
naive B cell	CHEM
sit-up	0
ratafee	0
Salazar	0
tintinnabulate	0
anthill	0
dampang	0
imperator	0
regulation of chromatin silencing	PROCESS
bromeosin	0
rhyme-forming	0
secondary motor neuron	CHEM
Cristatella	0
intrinsic component of chloroplast outer membrane	GENE
reservee	0
Abnormality of the hand	DISEASE
dermatopnagic	0
shuddersome	0
world-helping	0
nuclear_gene	DISEASE
tanh	0
Winifred	0
louping	0
archoplasm	0
pregrading	0
modulation by host of viral genome replication	PROCESS
soul-choking	0
epibranchial 5	CHEM
integument	CHEM
protein localization to cell division site	PROCESS
refutably	0
oxidoreductase activity, acting on the CH-CH group of donors, cytochrome as acceptor	PROCESS
sequence	DISEASE
CURI complex	GENE
gene_subarray_member	DISEASE
sclerotome somite 14	CHEM
Siphonognathidae	0
Hymera	0
XTP binding	PROCESS
corpus mamillare	CHEM
chloroplast stroma	GENE
obsolete inositol or phosphatidylinositol kinase activity	PROCESS
shandry	0
Doa10p ubiquitin ligase complex	GENE
reasserted	0
ganglioside biosynthetic process via lactosylceramide	PROCESS
BSL	0
sesquiterpene synthase activity	PROCESS
subcommissaryship	0
proteasomal ubiquitin-independent protein catabolic process	PROCESS
positive regulation of proteoglycan biosynthetic process	PROCESS
coact	0
negative regulation of cell-substrate adhesion	PROCESS
cartilage tissue	CHEM
interactionism	0
CaD	CHEM
prefunction	0
synaptic vesicle lumen	GENE
Kimbundu	0
oenolic	0
apicoplast_gene	DISEASE
1-18:1-2-18:1-sn-glycerol-3-phosphocholine desaturase activity	PROCESS
galactosylceramidase activity	PROCESS
arciform density	GENE
out-of-course	0
Rapp	0
asterids	DISEASE
plumb's	0
systemic mycosis	DISEASE
squet	0
pixilation	0
basifixed	0
paspalinine synthase activity	PROCESS
formamide metabolic process	PROCESS
response to pullulan	PROCESS
loss_of_function_variant	DISEASE
benomyl transmembrane transporter activity	PROCESS
cerebellar ataxia	DISEASE
cobourg	0
gap junction	GENE
elytroid	0
positive regulation of DNA recombination	PROCESS
blesseder	0
abdominocardiac	0
obsolete ER proteasome regulatory particle, lid subcomplex	GENE
indole-3-pyruvate monooxygenase activity	PROCESS
regulation of plasminogen activation	PROCESS
Faustulus	0
lung connective tissue	DISEASE
Lewy body	GENE
tallage	0
incompetible	0
ramtils	0
lipid-transporting ATPase activity	PROCESS
overagitating	0
Jav.	0
methanol metabolic process	PROCESS
amoke	0
regulation of extracellular matrix disassembly	PROCESS
tRNA 5-carboxymethoxyuridine methyltransferase activity	PROCESS
proteasome-mediated ubiquitin-dependent protein catabolic process	PROCESS
cervical soft tissue tumor	DISEASE
preclearances	0
whirlbrain	0
post-road	0
pelvic fin lepidotrichium 4	CHEM
carpetweb	0
fluidizer	0
negative regulation of lipase activity	PROCESS
positive regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	PROCESS
smooth muscle cell	CHEM
adenosquamous bile duct carcinoma	DISEASE
protein insertion into plasma membrane	PROCESS
lignin	0
unicellular trichome tip	GENE
lateral loop	GENE
obsolete promoter binding	PROCESS
axial-flow	0
failingness	0
resecuring	0
demi-incognito	0
salicylic acid mediated signaling pathway	PROCESS
myosin IX complex	GENE
RNA polymerase I complex	GENE
DMv2_motif	DISEASE
disprofess	0
glutamate-cysteine ligase activity	PROCESS
noncongestive	0
non-membrane spanning protein tyrosine phosphatase activity	PROCESS
caffeoyl-CoA:pelargonidin-3,5-diglucoside-6''-O-acyltransferase activity	PROCESS
T cell deficiency	DISEASE
unanalagously	0
gulflike	0
theatral	0
Sciomyzoidea	DISEASE
acyl-CoA desaturase activity	PROCESS
ssDNA viruses	DISEASE
Entamoeba histolytica	DISEASE
coimplicant	0
obsolete signal transducer, downstream of receptor, with serine/threonine phosphatase activity	PROCESS
axonemal dynein complex	GENE
spadilles	0
truncated	0
smooth muscle cell differentiation	PROCESS
obsolete activator of the establishment of competence for transformation activity	PROCESS
4,9-DSHA hydrolase activity	PROCESS
Tor2-Mei2-Ste11 complex	GENE
neuromast	CHEM
dense core granule cytoskeletal transport	PROCESS
synkinesis	0
overeducatively	0
aclacinomycin T methylesterase activity	PROCESS
interleukin-11 binding	PROCESS
caffeate	0
so	0
rough-and-ready	0
weight loss	DISEASE
chryslers	0
positive regulation of synaptic vesicle priming	PROCESS
alpha5-beta1 integrin-LPP3 complex	GENE
coulier	0
poral	0
response to water deprivation	PROCESS
other organism cell membrane	GENE
dishabituating	0
regulation of mRNA stability	PROCESS
antiapostle	0
Lonee	0
bravely	0
cytolysis in other organism	PROCESS
elastic fiber	GENE
organellar large ribosomal subunit	GENE
transmembrane receptor protein tyrosine kinase adaptor activity	PROCESS
laryngic	0
5' deoxyribonuclease (pyrimidine dimer) activity	PROCESS
subirrigating	0
dissociative disorder	DISEASE
femereil	0
ingratitude	0
ill-defined	0
christianizes	0
empresario	0
intrinsic component of membrane	GENE
srivatsan	0
endometrioid ovary carcinoma	DISEASE
oblatory	0
lipid droplet organization	PROCESS
mesonephric nephron	CHEM
statvolt	0
steroid hormone secretion	PROCESS
DNA helicase complex	GENE
nucleotide-excision repair, DNA damage recognition complex	GENE
rostral root of abducens nerve	CHEM
anocithesia	0
Eczema	DISEASE
distritbuting	0
Primulinus	0
syenodiorite	0
granulocyte differentiation	PROCESS
glucuronoxylan glucuronosyltransferase activity	PROCESS
imbrutes	0
Teleocephali	0
nonconciliatory	0
Poales	DISEASE
unsanctioning	0
receivers	0
3-chloroallyl aldehyde dehydrogenase activity	PROCESS
pensionary	0
uncousinly	0
pyvuril	0
posterior chamber swim bladder	CHEM
glochidia	0
adenylate kinase activity	PROCESS
regulation of glycoprotein metabolic process	PROCESS
nonretainable	0
proteinoplast	GENE
ventral oblique extraocular muscle	CHEM
Cleavage:2-cell	CHEM
Millhon	0
Bentincks	0
viral capsid, decoration	GENE
insouls	0
Erythraeum	0
intramembranous bone	DISEASE
weed-hook	0
hindbrain neural rod	CHEM
drumliest	0
contesters	0
California encephalitis orthobunyavirus	DISEASE
movement of cell or subcellular component	PROCESS
airglow	0
nonintent	0
Pecksniffism	0
regulation of carbohydrate catabolic process	PROCESS
progesterone secretion	PROCESS
selenocysteinyl_tRNA	DISEASE
ollapod	0
mesovarium	CHEM
intercurl	0
spell-caught	0
circummure	0
negative regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	PROCESS
pancreatic delta cell neoplasm	DISEASE
primary coenzyme Q10 deficiency 5	DISEASE
transducers	0
kaempferide 3-O-methyltransferase activity	PROCESS
nonclaimable	0
nucleobase-containing compound catabolic process	PROCESS
exoccipital posteroventral region	CHEM
mycterism	0
MPPD	0
superior reticular formation medial column	CHEM
kidney failure	DISEASE
Arabize	0
anaerobic respiration, using ammonium as electron donor	PROCESS
pyrimidine dimer DNA N-glycosylase activity	PROCESS
berake	0
host cell late endosome membrane	GENE
pectoral fin motor nerve 1	CHEM
phagosome maturation	PROCESS
deficiently	0
abdominal aorta artery	DISEASE
Scedosporium	DISEASE
parasitizing	0
2-keto-4-methylthiobutyrate aminotransferase activity	PROCESS
notifying	0
a-quarter	0
copper-transporting ATPase activity	PROCESS
positive regulation of type III interferon production	PROCESS
shoddyism	0
DNA ligase III-XRCC1 complex	GENE
Calmas	0
Miranda	0
chauffeurs	0
6-hydroxynicotinate 3-monooxygenase activity	PROCESS
deisopropylhydroxyatrazine aminohydrolase activity	PROCESS
siroheme biosynthetic process	PROCESS
dental organ	CHEM
dorsal fin pterygiophore 7	CHEM
rejuvenating	0
servient	0
clinoclasite	0
ostiaries	0
reproductive system	CHEM
portion of tissue	CHEM
vivandiere	0
pervasive	0
metaphyte	0
actin filament organization	PROCESS
hollowfoot	0
equaeval	0
pellicle	GENE
gerontoplast	GENE
tip-tap	0
pharyngobranchial 3 cartilage	CHEM
well-meaner	0
growth cone part	GENE
teensy	0
misosophist	0
sweer	0
L-ascorbic acid catabolic process	PROCESS
galanin receptor activity	PROCESS
mesked	0
congenital disorder of glycosylation type IIc	DISEASE
twice-guilty	0
caky	0
tetrahydromethanopterin S-methyltransferase activity	PROCESS
palmoplantar keratosis	DISEASE
Golgi medial cisterna	GENE
gametophagia	0
gut absorptive cell	CHEM
S-nitrosoglutathione reductase activity	PROCESS
obsolete membrane attack complex protein beta2 chain	GENE
relection	0
bewailingly	0
undoers	0
chromosome 16p12.2-p11.2 deletion syndrome	DISEASE
1-hydro-1,1a-dihydroxy-9-fluorenone dehydrogenase activity	PROCESS
meristic	0
bilobe structure	GENE
multi-organism process	PROCESS
cedrol	0
regulation of phospholipase C activity	PROCESS
dogbodies	0
toadpipes	0
syndromic X-linked intellectual disability 7	DISEASE
Bam protein complex	GENE
chromaturia	0
sinistral	0
bajarigar	0
microtubule-based movement	PROCESS
reoil	0
peptidyl-aspartic acid carboxylation	PROCESS
bacterial-type RNA polymerase core promoter sequence-specific DNA binding	PROCESS
electron transport chain	PROCESS
mitotic spindle astral microtubule end	GENE
amortizement	0
protein O-GlcNAc transferase activity	PROCESS
housewrecker	0
mitotic checkpoint complex, CDC20-MAD2 subcomplex	GENE
strand invasion	PROCESS
tennesseans	0
G protein-coupled estrogen receptor activity	PROCESS
outsharpen	0
Noguchi	0
negative regulation of cellular process	PROCESS
tunica propria of seminiferous tubule	CHEM
meiotic nuclear membrane microtubule tethering complex	GENE
malaxation	0
Torelli	0
host cell endoplasmic reticulum-Golgi intermediate compartment membrane	GENE
methionyl-initiator methionine tRNA binding	PROCESS
myoblast proliferation	PROCESS
dungeon's	0
biomineral tissue development	PROCESS
kidney	DISEASE
central nervous system hemangioma	DISEASE
slowrie	0
behavioral fear response	PROCESS
collagen type XIII trimer	GENE
pectoral fin lepidotrichium	CHEM
bankruptly	0
quercetin-4',3-O-glucosyltransferase activity	PROCESS
overpollinate	0
fenders	0
squishiest	0
Tylersburg	0
regulation of rRNA catabolic process	PROCESS
posterior lateral line placode	CHEM
cytoplasmic microtubule	GENE
lucullite	0
eerily	0
mandibular muscle	CHEM
microtubule cytoskeleton organization	PROCESS
hypochord	CHEM
